id,createdTime,AuthorRole,CauseCategory,Description,IncidentType,Lat,Long,OccurredAt,Outcome,SecondaryCauseCategory
rec01NGw8s9EKtciE,2024-04-20T15:09:22.000Z,Witness,Infrastructure,Van driver struck a pedestrian and did not stop. Minor impact.,Collision,53.279003115751664,-9.10733060423155,2024-04-20T14:35,Minor injuries,Infrastructure
rec02fjxjUztN7jow,2024-03-21T10:27:15.000Z,Victim,Driver Behaviour (Car),Cars stack in yellow box at signaled junction and obstruct cycle lane ,Near Miss,53.32222557149183,-6.247772758231207,2024-03-20T17:15,No injuries,Infrastructure
rec04JfVlPteuLj2p,2024-06-04T08:46:45.000Z,Victim,Driver Behaviour (Car),"SUV driver failed to yield to cyclist, left hook manoeuvre on roundabout.  Traffic quiet, pointless move for the sake of 3 seconds",Near Miss,52.628445915900016,-8.662659770546952,2024-06-04T08:30,No injuries,Infrastructure
rec0EG3ZLBIfqbpPB,2024-04-10T07:16:16.000Z,Victim,Driver Behaviour (Car),Car turning left,Near Miss,53.35865380072761,-6.273311090399375,2023-10-10T17:00,No injuries,Infrastructure
rec0FvuXL5f5wMsKL,2024-03-10T00:19:40.000Z,Victim,Driver Behaviour (Car),"Drivers entering roundabout commonly don't check for traffic coming from right, nearly hit on bike serveral times",Near Miss,51.897110891517684,-8.458715347159114,2023-09-14T09:38,No injuries,Infrastructure
rec0OMClROAeKeXxp,2025-03-19T23:35:09.000Z,Victim,Pedestrian Behaviour,I was pushed off my bike while cycling on the cycle track by a pedestrian..  just missing being hit by a double decker bus,Hazard,53.34812201138729,-6.256637860119554,2015-05-19T15:26,Minor injuries,Infrastructure
rec0OMK9ILSxWpgXW,2025-04-11T09:17:36.000Z,Witness,Infrastructure,Problematic signal for northbound traffic: simultaneous red light and green arrow for straight ahead. Drivers regularly turn left on it.,Hazard,53.339013816672434,-6.27261270811789,2025-04-03T08:48,No injuries,Infrastructure
rec0VFQfg0X5WEDow,2024-06-22T11:04:20.000Z,Victim,Infrastructure,Cycled into red unilluminated barrier at end of cycle path in the dark and was knocked off my bike.,Collision,53.25676570943051,-9.1022873729313,2023-11-08T18:00,Minor injuries,Infrastructure
rec08S81iDobEY0EP,2024-08-28T19:21:17.000Z,Victim,Driver Behaviour (Car),"Car overtaking bike had to swerve back into lane because of oncoming vehicle in other lane.  Passed bike at speed, at around 20cm distance",Near Miss,53.289508984194185,-6.23708640196449,2024-08-28T17:25,No injuries,Infrastructure
rec0DZTjDXL0rIC6L,2024-02-29T02:34:28.000Z,Victim,Infrastructure,Dangerous bollard in middle of cycle track,Hazard,53.29554144045446,-6.14726439320134,2024-02-29,No injuries,Infrastructure
rec0WB5BlunI74a7c,2024-03-02T23:28:48.000Z,Witness,Other,Construction works have closed the pavement and encourages members of the public onto the carriageway.,Hazard,53.28021712508965,-6.135704762466531,2024-03-02T19:24,No injuries,Infrastructure
rec0Z6g6rNaDjRsE6,2024-02-28T23:03:47.000Z,Other,Driver Behaviour (Car),Hostile cycling environment with cars merging left to get to Finglas Road. Often cars merging too early into bus lane with no due care.,Hazard,53.36703751455249,-6.272498891205714,2024-02-28,No injuries,Infrastructure
rec0c714RlTxyaX5S,2024-02-29T11:31:24.000Z,Victim,Driver Behaviour (Car),T-boned car that pulled out onto main road without checking for cycle traffic. My camera footage proved driver lied about me breaking lights.,Collision,53.322876250304176,-6.238187016000097,2019-06-28T07:58,Minor injuries,Infrastructure
rec0cnbJ8aN23zm5E,2024-05-15T20:19:15.000Z,Victim,Infrastructure,"Vehicles regularly break this red light, appears many don't notice it.",Near Miss,53.33219833533562,-6.2528979862492235,2024-05-15,No injuries,Infrastructure
rec0eYU8fc7iQqUHa,2024-03-06T21:47:01.000Z,Other,Driver Behaviour (Car),45-year-old cyclist died following a crash,Collision,54.730820455176854,-5.847068214220371,2023-12-10T09:30,Fatality,Infrastructure
rec0dQmlVa2GyOMmh,2024-06-02T16:20:23.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),I was cycling in the left lane which was clear of traffic. A HGV moved into my lane from the outside lane and literally brushed against me,Near Miss,53.35344945658656,-6.226360786787836,2024-05-29T08:45,No injuries,Infrastructure
rec0fAG8JMx1jsGWp,2024-10-22T08:14:55.000Z,Witness,Infrastructure,"Cars accelerating up the hill turning left on High st, nearly hitting cyclists which are coming up hill going straight down Winetavern st.",Near Miss,53.34233444002632,-6.272258846153193,2024-10-22T07:11,Minor injuries,Driver Behaviour (Car)
rec0D9g88inyH0LUp,2024-03-02T23:10:09.000Z,Victim,Driver Behaviour (Car),"Struck by vehicle turning into entrance, crossing the cycle track without warning ",Collision,53.36397523812758,-6.2269695870684245,2024-02-28T19:09,No injuries,Infrastructure
rec0109Q94TGcmS2d,2025-09-16T12:56:49.000Z,Witness,Driver Behaviour (Car),Car sought to overtake blind,Near Miss,53.275733607640234,-9.055366927262924,2025-09-15T07:31,No injuries,Infrastructure
rec01J8Nkp4HvOFe7,2024-02-28T15:44:52.000Z,Witness,Driver Behaviour (Car),Red light running blackspot,Hazard,53.337209691006194,-6.234666355225272,2024-02-28,No injuries,Infrastructure
rec0fy1mG3nBBHeUO,2024-03-03T16:25:55.000Z,Victim,Infrastructure,"Slip on metal cover on the road - fell on the ground, knocked my head and had to go to the hospital.",Hazard,53.278362972391534,-6.163831899120822,2022-04-07T16:23,Minor injuries,Infrastructure
rec0Dl0uQ7yjzDZ6K,2024-05-04T14:50:35.000Z,Victim,Driver Behaviour (Car),"Cyclist hit by car on the Corner of Silchester Park, Glenageary ",Collision,53.27959746315193,-6.126146173932938,2024-05-02T18:15,Minor injuries,Infrastructure
rec01TccoAPbTI9sO,2024-02-29T11:08:20.000Z,Victim,Infrastructure,Very smooth manhole cover which becomes very slippery after rain. Difficult to avoid if turning from Queen Street into Blackhall Street.,Hazard,53.34848694026783,-6.2799160775740575,2024-02-28T11:04,Minor injuries,Infrastructure
rec0jBOmaXQNaevmJ,2024-04-03T15:30:27.000Z,Victim,Driver Behaviour (Car),Car was pulled into loading bay obscured by a parked truck. Car pulled out to do a u-turn suddenly. ,Collision,53.34421073825294,-6.263586713046294,2024-01-02T11:00,No injuries,Infrastructure
rec0gNUkCNSN0WEdm,2024-07-17T21:32:27.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),Ambulance SUV came between me on a bike and a car turning right,Near Miss,53.251284684219684,-8.903967241128157,2024-07-16T19:05,No injuries,Infrastructure
rec0oBlTQAV0bfGLd,2024-03-23T07:35:32.000Z,Victim,Infrastructure,Tourist in hire car driving too fast on wrong (right side) of road. Hit front wheel of my bike.,Collision,53.01129223407867,-6.3262304409444425,2024-03-22T08:33,No injuries,Infrastructure
rec0h1YohXMP9fRG2,2024-11-05T14:26:38.000Z,Victim,Driver Behaviour (Car),Car turned on to main road without due care and almost collided with me. ,Near Miss,53.3336894525182,-6.246384165408813,2024-10-26T18:20,No injuries,Infrastructure
rec0uu7saCKtK0ZJo,2024-09-18T07:59:03.000Z,Victim,Driver Behaviour (Car),Car veered onto cycle track in queued traffic. Driver had phone at steering wheel. Driver became aggressive when gestured to put phone away,Near Miss,53.26975718403352,-9.10263027318581,2024-09-18T08:30,No injuries,Infrastructure
rec0xUCbYWQ4vAZMO,2024-11-08T19:00:49.000Z,Victim,Driver Behaviour (Car),"Left lane entering roundabout for left only as per arrows, driver in left lane cut across to go straight ahead. ",Near Miss,53.41585845601429,-6.384731467789379,2024-11-08T16:58,No injuries,Infrastructure
rec0uBiGVT9jS0WqC,2024-03-15T15:36:05.000Z,Other,Infrastructure,Road surface very poor in some areas along this stretch.,Hazard,53.31766672031458,-6.209244324800153,2024-03-13T17:34,No injuries,Infrastructure
rec12KfnCzTiNEOoQ,2024-03-14T11:17:54.000Z,Victim,Infrastructure,Very close pass by a driver who then turned right to park in the golf club,Near Miss,53.258339904443915,-9.096477419298083,2023-05-16T08:55,No injuries,Infrastructure
rec0yBTp6aazxbpht,2024-09-23T10:21:30.000Z,Victim,Driver Behaviour (Bus),4 close passes. 1 bus and 3 cars. Bus reported to Gardai. Teen with me,Near Miss,53.29731531835495,-9.096435902461849,2024-07-14T15:45,No injuries,Infrastructure
rec13SM5lM2kb9MaP,2024-12-18T09:00:54.000Z,Victim,Infrastructure,Cars mounting path,Hazard,53.340259135286175,-6.239326014474386,2024-12-18,No injuries,Infrastructure
rec1O30yI9smthxwc,2024-10-01T16:15:11.000Z,Witness,Driver Behaviour (Car),Pedestrians crossing on green man had to jump out of the way of a car making the banned right turn from Sherrard Street Lower to Belvedere.,Near Miss,53.359383121200295,-6.258888990737432,2024-10-01T13:20,No injuries,Infrastructure
rec1CTE12nu3amX70,2025-02-21T08:13:41.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),Southbound truck turned left without indicating across commuting cyclists heading towards Ranelagh.  ,Hazard,53.3303920611265,-6.260070114547034,2025-02-20T08:30,No injuries,Infrastructure
