cluster_id,size,medoid_lat,medoid_lng,braking_events,swerve_events,roughness_events,hazard_type,avg_x,avg_y,avg_z,max_x,max_y,max_z,peak_events,offpeak_events,morning_peak,evening_peak,weekday_events,weekend_events,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,street_name
54,803,53.36218355,-6.252497735,248,146,738,mixed_braking_roughness,41.26276463,30.90784558,74.28144458,98,62,115,762,41,580,182,790,13,23,64,68,54,28,50,125,126,51,53,118,43,Jones's Road
18,740,53.34751161,-6.241113826,600,77,403,mixed_braking_roughness,52.91351351,22.14864865,62.81621622,89,69,112,703,37,515,188,722,18,29,56,64,61,14,60,89,102,68,69,101,27,Samuel Beckett Bridge
40,566,53.35657458,-6.249079122,39,34,548,roughness,30.41696113,25.72614841,73.37632509,83,56,103,539,27,488,51,561,5,20,61,53,22,19,21,122,70,43,33,62,40,Portland Row
12,512,53.35861169,-6.254531563,314,68,369,mixed_braking_roughness,47.9765625,25.94726563,66.99804688,93,57,111,478,34,96,382,495,17,29,47,45,55,14,35,78,51,39,36,57,26,Russell Street
53,504,53.3491888,-6.240936833,330,83,345,mixed_braking_roughness,51.16071429,28.50595238,67.63690476,100,62,122,485,19,177,308,493,11,9,49,46,45,7,44,68,65,34,40,68,29,Guild Street
21,488,53.3268274,-6.224734989,129,196,307,mixed_braking_swerve_roughness,35.58606557,34.88114754,64.69057377,94,80,119,429,59,70,359,488,0,29,34,24,26,24,73,95,63,38,44,26,12,Merrion Road
106,482,53.2794184,-6.2139249,2,482,186,mixed_swerve_roughness,6.450207469,59.30497925,57.97925311,48,78,78,296,186,189,107,275,207,0,22,0,0,60,41,41,89,19,94,78,38,Blackthorn
69,455,53.36072813,-6.253309347,307,51,197,mixed_braking_roughness,48.00659341,29.55384615,56.38241758,81,61,92,433,22,278,155,453,2,11,42,46,24,16,56,93,66,23,19,43,16,Jones's Road
19,436,53.35521023,-6.24743893,94,30,405,roughness,34.45412844,24.66972477,70.13073394,85,58,107,402,34,143,259,421,15,9,51,44,49,14,34,103,51,13,19,37,12,Portland Row
50,409,53.2773088,-6.2104233,223,345,14,mixed_braking_swerve,43.16870416,48.16625917,30.49144254,81,82,71,375,34,89,286,409,0,0,0,0,0,0,0,38,64,74,132,68,33,Carmanhall Road
0,399,53.28670396,-6.225574644,162,200,133,mixed_braking_swerve_roughness,40.04010025,31.70676692,51.95238095,95,71,103,325,74,260,65,380,19,22,39,12,22,10,5,53,53,69,53,45,16,Kilmacud Road Upper
66,387,53.2711396,-6.2041848,231,203,56,mixed_braking_swerve,42.374677,35.41860465,39.51679587,124,78,91,376,11,251,125,387,0,3,40,0,38,28,16,31,64,17,47,88,15,Central Park
68,324,53.27401278,-6.204137578,131,57,181,mixed_braking_roughness,37.67592593,21.5,60.37037037,91,71,102,270,54,159,111,324,0,13,34,39,24,13,16,26,55,35,38,25,6,Burton Hall Road
36,318,53.33961292,-6.241452474,299,37,49,braking,54.68867925,28.13836478,50.94025157,85,50,85,295,23,293,2,318,0,10,42,42,31,5,37,48,36,14,10,33,10,Grand Canal Street Lower
17,298,53.34472725,-6.267426471,79,200,69,mixed_braking_swerve,34.07718121,43.43624161,39.72147651,89,92,105,199,99,166,33,266,32,11,18,0,2,40,58,33,68,15,19,21,13,Parliament Street
82,279,53.26556216,-6.160553853,271,8,68,braking,63.40143369,9.598566308,55.07885305,78,77,75,259,20,209,50,275,4,0,0,0,0,0,0,75,71,24,109,0,0,Old Bray Road
59,260,53.3660653,-6.255574793,191,46,163,mixed_braking_roughness,49.81923077,31.16923077,64.45384615,83,57,91,228,32,224,4,252,8,5,10,33,23,7,31,34,33,19,27,33,5,Clonliffe Road
52,254,53.27499305,-6.207648967,11,3,245,roughness,22.94488189,18.14173228,69.66141732,63,44,98,237,17,21,216,254,0,15,52,28,23,7,10,45,29,9,5,23,8,Burton Hall Road
57,252,53.34267124,-6.241096545,211,24,146,mixed_braking_roughness,54.56349206,23.26190476,66.24206349,88,52,110,223,29,206,17,244,8,11,17,23,10,9,44,50,37,13,14,15,9,Pearse Street
34,247,53.29192555,-6.232175597,13,202,79,mixed_swerve_roughness,30.9757085,43.65182186,55.5951417,58,68,80,231,16,1,230,247,0,9,6,23,12,41,1,10,27,52,36,19,11,Taney Road
55,246,53.3089715,-6.218017983,101,12,173,mixed_braking_roughness,37.80487805,21.75203252,63.20325203,106,64,117,217,29,0,217,246,0,6,58,32,28,0,16,46,21,5,5,28,1,Stillorgan Road
47,237,53.3391338,-6.2393909,68,76,168,mixed_braking_swerve_roughness,36.42616034,34.48523207,66.4978903,80,101,109,118,119,91,27,195,42,3,1,16,4,8,0,56,70,42,21,15,1,Grand Canal Quay
6,236,53.3099081,-6.2834127,125,90,74,mixed_braking_swerve_roughness,41.25847458,27.95762712,50.8559322,100,78,86,218,18,85,133,212,24,23,15,3,30,7,32,9,41,14,58,1,3,Terenure Road East
2,231,53.310318,-6.2820443,108,166,55,mixed_braking_swerve,39.72294372,43.80519481,43.6017316,77,79,80,212,19,6,206,184,47,72,62,60,4,0,0,4,11,1,16,1,0,Terenure Road East
11,205,53.36444956,-6.176504547,22,5,195,roughness,30.85365854,24.97073171,70.63414634,63,53,106,146,59,0,146,25,180,1,39,30,8,0,15,39,33,14,15,6,5,Dollymount Avenue
56,200,53.30766127,-6.215138664,124,76,53,mixed_braking_swerve_roughness,45.45,37.8,51.43,90,58,80,193,7,0,193,200,0,11,20,23,18,4,15,23,24,16,10,22,14,Stillorgan Road
4,184,53.2928099,-6.2293996,92,71,62,mixed_braking_swerve_roughness,39.4076087,28.08152174,46.83152174,95,93,86,134,50,75,59,174,10,7,16,1,3,6,7,25,40,24,32,14,9,Mount Anville Road
16,174,53.3375796,-6.2657243,105,56,40,mixed_braking_swerve,40.94827586,22.66091954,40.86206897,97,63,101,129,45,72,57,173,1,7,19,0,4,20,15,10,23,12,25,21,18,Cuffe Street
